undefined21-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,6856.456278354705USD,6310.620650491164EUR,moola-market, USD, EUR,mobius,0.0032698282212558767USD,0.0030095891327825614EUR,weth,171.45641642665788USD,157.80694257134806EUR,wrapped-bitcoin,6853.868348285219USD,6308.238742946588EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5347904942320182USD,0.4922275883770804EUR,truefeedbackchain,0.00011420291957614201USD,0.00010511373761291604EUR,premio, USD, EUR,usd-coin,0.9997959263158033USD,0.9202031724177283EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.419880359487937USD,3.1476271039494614EUR,saber, USD, EUR,fantom,0.0030190032823973283USD,0.002778663450088959EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.027804337444612USD,13.831455861944999EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
22-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,6842.038597634602USD,6302.078595586479EUR,moola-market, USD, EUR,mobius,0.0030967097259914787USD,0.0028523235878356833EUR,weth,171.16524146741023USD,157.67759160501984EUR,wrapped-bitcoin,6837.979043322478USD,6298.339413181556EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5728269210770057USD,0.5276205661194506EUR,truefeedbackchain,0.00011311364874370275USD,0.0001041869458121472EUR,premio, USD, EUR,usd-coin,0.9978405835771356USD,0.9190930004023953EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.420644241459901USD,3.1506938392123693EUR,saber, USD, EUR,fantom,0.0030057772978878614USD,0.00276850424376989EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.096507864715075USD,13.9051216570475EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
23-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7109.995291181778USD,6578.985292859865EUR,moola-market, USD, EUR,mobius,0.0032035872197996363USD,0.0029635744652922458EUR,weth,182.71580069788064USD,169.06967112275936EUR,wrapped-bitcoin,7130.969866625284USD,6598.393382136373EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6848872198147996USD,0.6337364178029311EUR,truefeedbackchain,0.0001193285741241283USD,0.00011041651956566773EUR,premio, USD, EUR,usd-coin,0.9987640920170542USD,0.923936686243136EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.6470799990739162USD,3.3746978293430767EUR,saber, USD, EUR,fantom,0.00312468882908395USD,0.002891321443883814EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.686738791246619USD,14.51517470462236EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
24-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7382.793144116689USD,6851.232037740289EUR,moola-market, USD, EUR,mobius,0.003053465776550089USD,0.0028336162406384833EUR,weth,184.56103196504282USD,171.27263766355964EUR,wrapped-bitcoin,7490.664393559049USD,6951.336557222799EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6217032788666345USD,0.5769406427882364EUR,truefeedbackchain,0.00011888593330359536USD,0.00011032614610573657EUR,premio, USD, EUR,usd-coin,0.9969715576564201USD,0.925189605505158EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.6913299033031555USD,3.425554150265329EUR,saber, USD, EUR,fantom,0.003150174805965072USD,0.002923362219935587EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.970136706672747USD,14.820286863792312EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
25-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7495.393587498606USD,6924.154651408166EUR,moola-market, USD, EUR,mobius,0.002974521027768476USD,0.002747826831200186EUR,weth,187.06243640235937USD,172.8060339992627EUR,wrapped-bitcoin,7502.818596917829USD,6931.013786009525EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6227650900853694USD,0.5753029170397835EUR,truefeedbackchain,0.00012901872085981534USD,0.00011918594610564715EUR,premio, USD, EUR,usd-coin,0.9989058547321008USD,0.9227772417312584EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.748206179827702USD,3.462547890450672EUR,saber, USD, EUR,fantom,0.00331847007636283USD,0.0030655628349030677EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.894827424185603USD,14.683450836533577EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
26-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7538.557687279841USD,6965.921306796378EUR,moola-market, USD, EUR,mobius,0.0030819373864725648USD,0.002847830340658722EUR,weth,193.60551024648768USD,178.89904208265443EUR,wrapped-bitcoin,7579.375465244614USD,7003.638525529171EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6470903181859691USD,0.5979366905262453EUR,truefeedbackchain,0.0001151164930289828USD,0.00010637212910200834EUR,premio, USD, EUR,usd-coin,1.0003929300317305USD,0.9244020826735906EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.8903528303296855USD,3.5948377389850137EUR,saber, USD, EUR,fantom,0.0036947047737760598USD,0.003414051304455258EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.237246136924366USD,15.00384868311746EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
27-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7683.867415083342USD,7100.961549107702EUR,moola-market, USD, EUR,mobius,0.003327463246694521USD,0.003075038557337031EUR,weth,196.56594691365513USD,181.65425761483854EUR,wrapped-bitcoin,7673.29720594182USD,7091.193206601872EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6398628040694914USD,0.591322171889976EUR,truefeedbackchain,0.00011154156786046699USD,0.00010313122210221983EUR,premio, USD, EUR,usd-coin,1.0016644448400955USD,0.9256771783900807EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.9468645675905965USD,3.647451474628608EUR,saber, USD, EUR,fantom,0.004169871623816411USD,0.0038554591335090305EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.373952524617437USD,15.131808112147427EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
28-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7774.281554448049USD,7181.850202872891EUR,moola-market, USD, EUR,mobius,0.003288399909989464USD,0.0030378106832486245EUR,weth,196.7742729221793USD,181.77928622841756EUR,wrapped-bitcoin,7789.233616625969USD,7195.662858104604EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5683154806973284USD,0.5250075678062688EUR,truefeedbackchain,0.00013111968210534144USD,0.00012112783785018602EUR,premio, USD, EUR,usd-coin,0.9999003109610604USD,0.9237039076645838EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.929740446161146USD,3.6302785052018822EUR,saber, USD, EUR,fantom,0.0044016499129884866USD,0.004066226583019112EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.412718663883027USD,15.162003850820485EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
29-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,7758.230255185947USD,7163.313642757775EUR,moola-market, USD, EUR,mobius,0.003221207984713952USD,0.0029741993140301173EUR,weth,197.18090885957426USD,182.0606824064044EUR,wrapped-bitcoin,7748.314724544624USD,7154.158454837094EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6574283212299112USD,0.6070154027013592EUR,truefeedbackchain,0.00013240676867584843USD,0.000122253552840247EUR,premio, USD, EUR,usd-coin,0.9981295717230332USD,0.9215909999041676EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.9436787397673196USD,3.6412695666444814EUR,saber, USD, EUR,fantom,0.0044898189133912025USD,0.004145530619474539EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.36205781128239USD,15.107382494197635EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
30-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8744.430287016561USD,8038.370007921691EUR,moola-market, USD, EUR,mobius,0.0031323967472896997USD,0.002879474504326538EUR,weth,215.43942698346206USD,198.04398589110934EUR,wrapped-bitcoin,8767.531257697532USD,8059.605713826EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.7411890135877649USD,0.6813424478746339EUR,truefeedbackchain,0.00014260768642246485USD,0.00013109297138996927EUR,premio, USD, EUR,usd-coin,1.0013554916095526USD,0.9205020437950305EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.302065861026937USD,3.9546998551441765EUR,saber, USD, EUR,fantom,0.004827768131111228USD,0.004437954821132785EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.39372140310465USD,15.989282762132364EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
01-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8610.63580374089USD,7867.761810408942EUR,moola-market, USD, EUR,mobius,0.002801935804750656USD,0.002560599470015872EUR,weth,206.12902013155224USD,188.34544504872267EUR,wrapped-bitcoin,8614.686979797862USD,7871.463475302779EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.693089721323073USD,0.633294098705646EUR,truefeedbackchain,0.00014380561078152217USD,0.0001313989255169571EUR,premio, USD, EUR,usd-coin,0.9986108447826212USD,0.9124566927598452EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.119545113538659USD,3.764135478413221EUR,saber, USD, EUR,fantom,0.004566671659370406USD,0.004172686628629883EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.98087375117161USD,15.51586584916303EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
